be, am, was, been
begin, begins, began, begun
break, breaks, broke, broken
bring, brings, brought, brought
build, builds, built, built
buy, buys, bought, bought
catch, catches, caught, caught
choose, chooses, chose, chosen
come, comes, came, come
do, does, did, done
draw, draws, drew, drawn
drink, drinks, drank, drunk
drive, drives, drove, driven
eat, eats, ate, eaten
fall, falls, fell, fallen
feel, feels, felt, felt
find, finds, found, found
fly, flies, flew, flown
forget, forgets, forgot, forgotten
get, gets, got, gotten
give, gives, gave, given
go, goes, went, gone
have, has, had, had
hear, hears, heard, heard
hide, hides, hid, hidden
hit, hits, hit, hit
hold, holds, held, held
keep, keeps, kept, kept
know, knows, knew, known
leave, leaves, left, left
let, lets, let, let
make, makes, made, made
mean, means, meant, meant
meet, meets, met, met
put, puts, put, put
read, reads, read, read
ride, rides, rode, ridden
run, runs, ran, run
say, says, said, said
see, sees, saw, seen
sell, sells, sold, sold
send, sends, sent, sent
show, shows, showed, shown
sing, sings, sang, sung
sit, sits, sat, sat
speak, speaks, spoke, spoken
spend, spends, spent, spent
stand, stands, stood, stood
swim, swims, swam, swum
take, takes, took, taken
teach, teaches, taught, taught
tell, tells, told, told
think, thinks, thought, thought
throw, throws, threw, thrown
understand, understands, understood, understood
wake, wakes, woke, woken
wear, wears, wore, worn
win, wins, won, won
write, writes, wrote, written
